id,Region_Code,Region,Area_Code,Area,Electorate,ExpectedBallots,VerifiedBallotPapers,Pct_Turnout,Votes_Cast,Valid_Votes,Remain,Leave,Rejected_Ballots,No_official_mark,Voting_for_both_answers,Writing_or_mark,Unmarked_or_void,Pct_Remain,Pct_Leave,Pct_Rejected
108,E12000006,East,E06000031,Peterborough,120892,87474,87469,72.35,87469,87392,34176,53216,77,0,32,7,38,39.11,60.89,0.09
109,E12000006,East,E06000032,Luton,127612,84633,84636,66.31,84616,84481,36708,47773,135,0,85,0,50,43.45,56.55,0.16
112,E12000006,East,E06000033,Southend-on-Sea,128856,93948,93939,72.9,93939,93870,39348,54522,69,0,21,0,48,41.92,58.08,0.07
113,E12000006,East,E06000034,Thurrock,109897,79969,79954,72.75,79950,79916,22151,57765,34,0,8,3,23,27.72,72.28,0.04
110,E12000006,East,E06000055,Bedford,119530,86136,86136,72.06,86135,86066,41497,44569,69,0,26,1,42,48.22,51.78,0.08
111,E12000006,East,E06000056,Central Bedfordshire,204004,158904,158896,77.89,158894,158804,69670,89134,90,0,34,1,55,43.87,56.13,0.06
184,E12000006,East,E07000008,Cambridge,80108,57871,57860,72.22,57852,57799,42682,15117,53,0,13,0,40,73.85,26.15,0.09
185,E12000006,East,E07000009,East Cambridgeshire,62435,48129,48120,77.08,48124,48086,23599,24487,38,0,18,0,20,49.08,50.92,0.08
186,E12000006,East,E07000010,Fenland,71447,52653,52649,73.69,52649,52626,15055,37571,23,0,10,1,12,28.61,71.39,0.04
187,E12000006,East,E07000011,Huntingdonshire,128486,99996,99990,77.82,99990,99927,45729,54198,63,0,31,0,32,45.76,54.24,0.06
188,E12000006,East,E07000012,South Cambridgeshire,114830,93268,93263,81.21,93250,93189,56128,37061,61,0,24,0,37,60.23,39.77,0.07
222,E12000006,East,E07000066,Basildon,132771,98087,98071,73.86,98062,97999,30748,67251,63,3,26,2,32,31.38,68.62,0.06
223,E12000006,East,E07000067,Braintree,112562,86316,86309,76.67,86303,86236,33523,52713,67,0,23,0,44,38.87,61.13,0.08
224,E12000006,East,E07000068,Brentwood,58777,46726,46724,79.5,46725,46704,19077,27627,21,0,3,1,17,40.85,59.15,0.04
225,E12000006,East,E07000069,Castle Point,68860,51909,51909,75.38,51909,51845,14154,37691,64,0,15,1,48,27.3,72.7,0.12
226,E12000006,East,E07000070,Chelmsford,129971,100867,100866,77.6,100852,100794,47545,53249,58,0,23,2,33,47.17,52.83,0.06
227,E12000006,East,E07000071,Colchester,127520,95805,95802,75.11,95782,95719,44414,51305,63,2,17,5,39,46.4,53.6,0.07
228,E12000006,East,E07000072,Epping Forest,100016,76905,76900,76.89,76900,76852,28676,48176,48,0,21,2,25,37.31,62.69,0.06
229,E12000006,East,E07000073,Harlow,59124,43493,43489,73.56,43489,43469,13867,29602,20,0,1,0,19,31.9,68.1,0.05
230,E12000006,East,E07000074,Maldon,49073,38851,38850,79.17,38850,38831,14529,24302,19,1,9,1,8,37.42,62.58,0.05
231,E12000006,East,E07000075,Rochford,66589,52487,52479,78.81,52479,52447,17510,34937,32,0,13,1,18,33.39,66.61,0.06
232,E12000006,East,E07000076,Tendring,111167,82724,82725,74.4,82703,82657,25210,57447,46,0,17,2,27,30.5,69.5,0.06
233,E12000006,East,E07000077,Uttlesford,64735,51973,51972,80.28,51972,51943,25619,26324,29,0,5,0,24,49.32,50.68,0.06
251,E12000006,East,E07000095,Broxbourne,68997,50915,50907,73.78,50907,50872,17166,33706,35,0,14,0,21,33.74,66.26,0.07
252,E12000006,East,E07000096,Dacorum,108965,86313,86308,79.21,86307,86244,42542,43702,63,4,24,0,35,49.33,50.67,0.07
254,E12000006,East,E07000098,Hertsmere,73295,56161,56159,76.62,56159,56125,27593,28532,34,0,12,0,22,49.16,50.84,0.06
255,E12000006,East,E07000099,North Hertfordshire,99316,77748,77741,78.27,77737,77672,42234,35438,65,0,29,1,35,54.37,45.63,0.08
258,E12000006,East,E07000102,Three Rivers,67380,52900,52898,78.5,52896,52848,25751,27097,48,4,15,4,25,48.73,51.27,0.09
259,E12000006,East,E07000103,Watford,65060,46635,46635,71.68,46635,46586,23167,23419,49,0,23,4,22,49.73,50.27,0.11
299,E12000006,East,E07000143,Breckland,98989,73593,73593,74.34,73593,73548,26313,47235,45,0,10,0,35,35.78,64.22,0.06
300,E12000006,East,E07000144,Broadland,99254,77785,77783,78.37,77781,77737,35469,42268,44,0,0,0,44,45.63,54.37,0.06
301,E12000006,East,E07000145,Great Yarmouth,72634,50157,50156,69.06,50158,50128,14284,35844,30,0,14,7,9,28.5,71.5,0.06
302,E12000006,East,E07000146,King's Lynn and West Norfolk,113884,85134,85128,74.75,85128,85080,28587,56493,48,0,13,3,32,33.6,66.4,0.06
